graph,query_idx,source,target,hit_expansions,alt_expansions,hit_p50_ms,alt_p50_ms
FLA,81,317824,177789,149698,34757,816.3773260312155,408.43831200618297
FLA,82,742452,837291,8563,8599,184.61054097861052,220.04318295512348
FLA,83,125657,681669,137280,79850,774.3341049645096,836.8323220638558
FLA,84,109751,811774,159141,189603,783.0350160365924,1607.2360229445621
FLA,85,461079,368452,103869,82512,653.97742704954,827.5663550011814
FLA,86,106081,983237,35883,36255,349.74634798709303,502.43764801416546
FLA,87,558986,110078,7393,7474,178.81842295173556,196.284711943008
FLA,88,22671,51663,5688,8161,172.5493259727955,201.14192797336727
FLA,89,1064284,311955,63467,28036,453.34634091705084,378.70761402882636
FLA,90,112547,910681,12975,13159,263.8107390375808,385.4963378980756
FLA,91,142483,658271,88406,28741,465.5890460126102,368.28370194416493
FLA,92,214835,401896,24111,19457,242.92276496998966,302.89054196327925
FLA,93,84896,477095,7199,66591,239.82312600128353,714.0780929476023
FLA,94,71295,743974,18211,11912,228.59903203789145,244.96416898909956
FLA,95,887121,1056731,38930,58171,299.15859806351364,560.8138090465218
FLA,96,825816,374705,8313,11171,184.9391940049827,242.92012199293822
FLA,97,554594,147718,107374,46942,600.6458740448579,556.4372569788247
FLA,98,645263,1008239,142810,154420,766.582325915806,1344.5752579718828
FLA,99,107512,147443,55326,79419,349.9480769969523,727.3552319966257
